,,,,,,,,
Monday,Seminar Hall,Probability & Statistics (BCS-4E),Probability & Statistics (BCS-4F),Digital Logic Design (BCS-2C),Software for Mobile Devices (BCS-6B),Multivariable Calculus (BCS-2D),,
Monday,F-201,Database Systems (BCS-4B),Database Systems (BCS-4C),Applied Machine Learning (BCS-8C),Applied Machine Learning (BCS-8A),Object Oriented Programming (BCS-2H),,Software Quality Assurance (MSP-2A)
Monday,F-202,Digital Image Processing (BCS-6A),Compiler Construction (BCS-6C),Digital Image Processing (BCS-6B),Data Mining (BDS-6A),Data Mining (BDS-6B),,Secure Systems Design (MCY-2A)
Monday,F-203,,Software Re-Engineering (BSE-8A),Software Re-Engineering (BSE-8B),Compiler Construction (BCS-6A),Software Engineering (BCS-6J),Theory of Automata (BCS-6C),
Monday,F-204,Object Oriented Programming (BDS-2B),Database Systems (BCS-4K),Object Oriented Programming (BDS-2A),Object Oriented Programming (BCS-2F),Data Science (BCS-8D),Brand Management (BCS-8B),Brand Management (BCS-8A)
Monday,F-205,Digital Logic Design (BCS-2A),Data Structures (BCS-4B),Com. Org. & Assembly Lang. (BDS-4A),Com. Org. & Assembly Lang. (BDS-4B),Advanced Programming (BCS-8A),Advanced Programming (BCS-8B),
Monday,F-206,Digital Logic Design (BSE-2A), Data Structures (BDS-4A),Database Systems (BCS-4A),Compiler Construction (BCS-6D),Database Systems (BDS-4B),Applied Machine Learning (BCS-8B),
Monday,F-207,Natural Language Processing (MDS-2A),,Professional Practices in IT (BCS-8A),Parallel & Distributed Comp (BCS-6K),Database Systems (BCS-4G),,
Monday,F-208,Professional Practices in IT (BCS-8B),Software Engineering (BCS-6D),Software Engineering (BCS-6E),Data Science (BCS-8B),Expository Writing (BSE-4B),,
Monday,F-209,Parallel & Distributed Comp (BCS-6F),Parallel & Distributed Comp (BCS-6E),Digital Logic Design (BCS-2B),Design & Analysis of Algo (BSE-6B),Software Engineering (BCS-6F),Professional Practices in IT (BSE-8A),
Monday,F-210,,Object Oriented Programming (BCS-2A),Advanced Statistics (BDS-4C),Object Oriented Programming (BCS-2B),Compiler Construction (BCS-6K),,
Monday,F-301,,Operating Systems (BCS-4A),Software Engineering (BCS-6K),Operating Systems (BCS-4B),Natural Language Processing (BCS-8C),Programming Fundamentals (BDS-2A),
Monday,F-302,Object Oriented Programming (BSE-2A),,Object Oriented Programming (BSE-2B),Compiler Construction (BCS-6H),Compiler Construction (BCS-6G),Artificial Intelligence (BCS-6H),
Monday,F-303,,,Bioinformatics (BCS-8B),Parallel & Distributed Comp (BDS-6B),Parallel & Distributed Comp (BDS-6A),,
Monday,F-304,Intro to Cloud Computing (BDS-8A),Deep Learning (BCS-8B),Parallel & Distributed Comp (BCS-6H),Object Oriented Programming (BCS-2C),,,
Monday,F-305,Natural Language Processing (BCS-8A),Natural Language Processing (BCS-8B),Artificial Intelligence (BCS-6F),Artificial Intelligence (BCS-6G),Object Oriented Programming (BCS-2K),,
Monday,F-306,Entrepreneurship (BCS-8A),Operating Systems (BCS-4J),Operating Systems (BCS-4K),Game Development (BCS-8B),Data Structures (BCS-4A),,
Monday,F-307,Fundamentals of Management (BDS-4C),,Compiler Construction (BCS-6J),Operating Systems (BCS-4G),Operating Systems (BCS-4F),,
Monday,F-308,,Artificial Intelligence (BCS-6B),Artificial Intelligence (BCS-6A),Theory of Automata (BCS-6A),,,
Monday,F-309,,Web Engineering (BSE-6A),Web Engineering (BSE-6B),Artificial Intelligence (BCS-6E),Artificial Intelligence (BCS-6D),,
Monday,F-310,Digital Logic Design (BCS-2J),Web Programming (BCS-8B),Data Science (BCS-8A),,Digital Logic Design (BCS-2G),,
Monday,F-311,Deep Learning (BCS-8A),Intro to Cloud Computing (BCS-8B),Web Programming (BDS-8B),Data Science (BSE-8A),Applied Artificial Intelligence (BSE-6A),,
Monday,F-312,,Intro to Cloud Computing (BCS-8A),Tech. & Business Writing (BCS-4J),Advanced Statistics (BDS-4A),Parallel & Distributed Comp (BCS-6B),,
Monday,C-1,Ideology and Const of Pak & Seerat (BCS-2G),,Civics and Community Eng (BCS-2G),,French Language (BCS-4A),,
Monday,C-2,Digital Logic Design (BCS-2F),Civics and Community Eng (BDS-2B),,Multivariable Calculus (BCS-2J),Civics and Community Eng (BCS-2F),,
Monday,C-3,Civics and Community Eng (BCS-2H),,Expository Writing (BCS-2H),,Probability & Statistics (BCS-4D),Modern Politics & Govt (BCS-4A),
Monday,C-4,Advanced Operating Systems (MCS-1A),,Multivariable Calculus (BDS-2C),Tech. & Business Writing (BCS-4K),Civics and Community Eng (BCS-2B),,
Monday,C-5,Expository Writing (BCS-2D),,Database Systems (BCS-4D),Digital Logic Design (BCS-2D),Tech. & Business Writing (BCS-4C),Tech. & Business Writing (BCS-4D),
Monday,C-6,Artificial Intelligence (BDS-6A),Brand Management (BCS-4A),Islamic Studies/Ethics & Holy Quran (BCS-2A),,Multivariable Calculus (BCS-2A),,
Monday,C-7,Islamic Studies/Ethics & Holy Quran (BCS-2B),,Formal Methods (BSE-6C) ,,Civics and Community Eng (BSE-2A),,
Monday,C-13,Expository Writing (BCS-2C),,Probability & Statistics (BCS-4C),Tech. & Business Writing (BCS-4A),Tech. & Business Writing (BCS-4B),,
Monday,C-14,Mass Communication (BCS-4A),Expository Writing (BCS-2E),,French Langauge (BCS-8A),,,
